yearID,lgID,teamID,franchID,divID,G,W,L,name
2012,AL,TOR,TOR,E,162,73,89,Toronto Blue Jays
2012,NL,WAS,WSN,E,162,98,64,Washington Nationals
2013,NL,ARI,ARI,W,162,81,81,Arizona Diamondbacks
2013,NL,ATL,ATL,E,162,96,66,Atlanta Braves
2013,AL,BAL,BAL,E,162,85,77,Baltimore Orioles
2013,AL,BOS,BOS,E,162,97,65,Boston Red Sox
2013,AL,CHA,CHW,C,162,63,99,Chicago White Sox
2013,NL,CHN,CHC,C,162,66,96,Chicago Cubs
2013,NL,CIN,CIN,C,162,90,72,Cincinnati Reds
2013,AL,CLE,CLE,C,162,92,70,Cleveland Indians
2013,NL,COL,COL,W,162,74,88,Colorado Rockies
2013,AL,DET,DET,C,162,93,69,Detroit Tigers
2013,AL,HOU,HOU,W,162,51,111,Houston Astros
2013,AL,KCA,KCR,C,162,86,76,Kansas City Royals
2013,AL,LAA,ANA,W,162,78,84,Los Angeles Angels of Anaheim
2013,NL,LAN,LAD,W,162,92,70,Los Angeles Dodgers
2013,NL,MIA,FLA,E,162,62,100,Miami Marlins
2013,NL,MIL,MIL,C,162,74,88,Milwaukee Brewers
2013,AL,MIN,MIN,C,162,66,96,Minnesota Twins
2013,AL,NYA,NYY,E,162,85,77,New York Yankees
2013,NL,NYN,NYM,E,162,74,88,New York Mets
2013,AL,OAK,OAK,W,162,96,66,Oakland Athletics
2013,NL,PHI,PHI,E,162,73,89,Philadelphia Phillies
2013,NL,PIT,PIT,C,162,94,68,Pittsburgh Pirates
2013,NL,SDN,SDP,W,162,76,86,San Diego Padres
2013,AL,SEA,SEA,W,162,71,91,Seattle Mariners
2013,NL,SFN,SFG,W,162,76,86,San Francisco Giants
2013,NL,SLN,STL,C,162,97,65,St. Louis Cardinals
2013,AL,TBA,TBD,E,163,92,71,Tampa Bay Rays
2013,AL,TEX,TEX,W,163,91,72,Texas Rangers
2013,AL,TOR,TOR,E,162,74,88,Toronto Blue Jays
2013,NL,WAS,WSN,E,162,86,76,Washington Nationals
2014,NL,ARI,ARI,W,162,64,98,Arizona Diamondbacks
2014,NL,ATL,ATL,E,162,79,83,Atlanta Braves
2014,AL,BAL,BAL,E,162,96,66,Baltimore Orioles
2014,AL,BOS,BOS,E,162,71,91,Boston Red Sox
2014,AL,CHA,CHW,C,162,73,89,Chicago White Sox
2014,NL,CHN,CHC,C,162,73,89,Chicago Cubs
2014,NL,CIN,CIN,C,162,76,86,Cincinnati Reds
2014,AL,CLE,CLE,C,162,85,77,Cleveland Indians
2014,NL,COL,COL,W,162,66,96,Colorado Rockies
2014,AL,DET,DET,C,162,90,72,Detroit Tigers
2014,AL,HOU,HOU,W,162,70,92,Houston Astros
2014,AL,KCA,KCR,C,162,89,73,Kansas City Royals
2014,AL,LAA,ANA,W,162,98,64,Los Angeles Angels of Anaheim
2014,NL,LAN,LAD,W,162,94,68,Los Angeles Dodgers
